region;mesas;electores;vot_v1;porcent_v1;vot_v2;porcent_v2
Arica y Parinacota;516;194261;154401;0,7912;149904;0,7717
Antofagasta;1266;494718;403001;0,8102;386980;0,7822
Atacama;631;245717;207693;0,8425;199905;0,8136
Coquimbo;1718;667380;572339;0,8559;557391;0,8352
Valparaíso;4353;1680258;1427167;0,8489;1396418;0,8311
Metropolitana;15398;6010950;5044000;0,8383;4957415;0,8247
O'Higgins;2123;820988;744799;0,9071;728836;0,8878
Maule;2455;938027;846561;0,9012;829747;0,8846
Biobío;3562;1368474;1198268;0,8756;1172881;0,8571
Araucanía;2419;917080;763510;0,8325;743035;0,8102
Los Lagos;2047;778849;657535;0,8434;637421;0,8184
